sequence_id,sequence_length,gap_count,gap_fraction,mean_pairwise_distance,entropy_contribution,distance_to_consensus,gene_id
R_barbata_hap1_chrs_RHYNC_chr1_RagTag_004953,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_barbata_hap1_chrs_RHYNC_chr2_RagTag_002234,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_barbata_hap1_chrs_RHYNC_chr2_RagTag_003190,136,0,0.0,0.020575171140829424,0.046356108691019644,0.029411764705882353,OG0000103_H3
R_barbata_hap1_chrs_RHYNC_chr3_RagTag_005052,136,0,0.0,0.020575171140829424,0.046356108691019644,0.029411764705882353,OG0000103_H3
R_barbata_hap1_chrs_RHYNC_chr3_RagTag_005026,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_barbata_hap1_chrs_RHYNC_chr3_RagTag_004763,136,0,0.0,0.020575171140829424,0.046356108691019644,0.029411764705882353,OG0000103_H3
R_barbata_hap1_chrs_RHYNC_chr3_RagTag_003036,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_barbata_hap1_chrs_RHYNC_chr5_RagTag_004894,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_barbata_hap2_chrs_RHYNC_chr1_RagTag_005073,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_barbata_hap2_chrs_RHYNC_chr2_RagTag_002272,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_barbata_hap2_chrs_RHYNC_chr2_RagTag_003225,136,0,0.0,0.020575171140829424,0.046356108691019644,0.029411764705882353,OG0000103_H3
R_barbata_hap2_chrs_RHYNC_chr3_RagTag_004592,136,0,0.0,0.020575171140829424,0.046356108691019644,0.029411764705882353,OG0000103_H3
R_barbata_hap2_chrs_RHYNC_chr3_RagTag_002739,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_barbata_hap2_chrs_RHYNC_chr5_RagTag_004815,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_holoschoenoides_hap1_chr_RHYNC_Chr1_RagTag_h1_004779,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_holoschoenoides_hap1_chr_RHYNC_Chr2_RagTag_h1_000288,136,0,0.0,0.020575171140829424,0.046356108691019644,0.029411764705882353,OG0000103_H3
R_holoschoenoides_hap1_chr_RHYNC_Chr2_RagTag_h1_004922,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_holoschoenoides_hap1_chr_RHYNC_Chr3_RagTag_h1_000193,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_holoschoenoides_hap1_chr_RHYNC_Chr3_RagTag_h1_001802,136,0,0.0,0.020575171140829424,0.046356108691019644,0.029411764705882353,OG0000103_H3
R_holoschoenoides_hap1_chr_RHYNC_Chr3_RagTag_h1_002081,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_holoschoenoides_hap1_chr_RHYNC_Chr3_RagTag_h1_002105,136,0,0.0,0.020575171140829424,0.046356108691019644,0.029411764705882353,OG0000103_H3
R_holoschoenoides_hap1_chr_RHYNC_Chr5_RagTag_h1_004816,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_holoschoenoides_hap2_chr_RHYNC_Chr1_RagTag_h2_004888,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_holoschoenoides_hap2_chr_RHYNC_Chr1_RagTag_h2_004887,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_holoschoenoides_hap2_chr_RHYNC_Chr2_RagTag_h2_000287,136,0,0.0,0.02057517114082942,0.046356108691019644,0.029411764705882353,OG0000103_H3
R_holoschoenoides_hap2_chr_RHYNC_Chr2_RagTag_h2_004876,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_holoschoenoides_hap2_chr_RHYNC_Chr3_RagTag_h2_000126,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_holoschoenoides_hap2_chr_RHYNC_Chr3_RagTag_h2_001715,136,0,0.0,0.02057517114082942,0.046356108691019644,0.029411764705882353,OG0000103_H3
R_holoschoenoides_hap2_chr_RHYNC_Chr3_RagTag_h2_001977,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
R_holoschoenoides_hap2_chr_RHYNC_Chr3_RagTag_h2_002001,136,0,0.0,0.020575171140829424,0.046356108691019644,0.029411764705882353,OG0000103_H3
R_holoschoenoides_hap2_chr_RHYNC_Chr5_RagTag_h2_004708,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
Ralba.chr_RHYNC_Chr3_000067,136,0,0.0,0.020575171140829424,0.046356108691019644,0.029411764705882353,OG0000103_H3
Ralba.chr_RHYNC_Chr5_000100,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
Ralba.chr_RHYNC_Chr5_000136,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
Ralba.chr_RHYNC_Chr5_002061,136,0,0.0,0.02057517114082942,0.046356108691019644,0.029411764705882353,OG0000103_H3
Ralba.chr_RHYNC_Chr5_000528,136,0,0.0,0.02057517114082942,0.046356108691019644,0.029411764705882353,OG0000103_H3
Ralba.chr_RHYNC_Chr6_001138,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
Ralba.chr_RHYNC_Chr10_001159,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
Ralba.chr_RHYNC_Chr10_001158,136,0,0.0,0.011892730932903429,0.02052883273582868,0.0,OG0000103_H3
